SITEID,SITENAME,ORDERID,ISCITY,ISDISTRICT,ISNATIONAL,ISACTIVE,SITENAMEEN,ADDRESS,ISPUBLIC,LON,LAT
215,虹口凉城,5,-1,-1,-1,-1,Hongkou Liangcheng,虹口区凉城路854号凉城社区卫生中心,-1,121.471826,31.298781
201,普陀监测站,1,-1,-1,-1,-1,Putuo Station,普陀区杏山路317号曹杨社区文化中心,-1,121.406039,31.236417
209,杨浦四漂,2,-1,-1,-1,-1,Yangpu Sipiao,杨浦区平凉路1398号,-1,121.538132,31.264346
185,卢湾师专附小,3,-1,-1,-1,-1,Luwan Shizhuan,卢湾区局门路478号,-1,121.481838,31.204286
203,青浦淀山湖,4,0,-1,-1,-1,Qingpu Dianshanhu,青浦区淀峰渔民村1号,-1,120.98196,31.089692
183,静安监测站,6,-1,-1,-1,-1,Jingan Station,静安区武定西路1480号,-1,121.429884,31.224199
207,徐汇上师大,7,-1,-1,-1,-1,Xuhui Shangshida,徐汇区桂林路100号上师大,-1,121.416532,31.161486
193,浦东川沙,16,-1,-1,-1,-1,Pudong Chuansha,浦东新区川环南路319号,-1,121.707211,31.188478
228,浦东监测站,105,-1,-1,-1,-1,Pudong Weifang,浦东新区灵山路51号,-1,121.538658,31.226424
195,浦东张江,18,-1,-1,-1,-1,Pudong Zhangjiang,浦东新区祖冲之路295号,-1,121.582075,31.201593