cbsa20,county,CountyName
10620,37167,Stanly NC
11700,37021,Buncombe NC
11700,37087,Haywood NC
11700,37089,Henderson NC
11700,37115,Madison NC
14380,37189,Watauga NC
14820,37175,Transylvania NC
15500,37001,Alamance NC
16740,37007,Anson NC
16740,37025,Cabarrus NC
16740,37071,Gaston NC
16740,37097,Iredell NC
16740,37109,Lincoln NC
16740,37119,Mecklenburg NC
16740,37159,Rowan NC
16740,37179,Union NC
19000,37099,Jackson NC
19000,37173,Swain NC
20500,37037,Chatham NC
20500,37063,Durham NC
20500,37077,Granville NC
20500,37135,Orange NC
20500,37145,Person NC
21020,37139,Pasquotank NC
21020,37143,Perquimans NC
22180,37051,Cumberland NC
22180,37085,Harnett NC
22180,37093,Hoke NC
22580,37161,Rutherford NC
24140,37191,Wayne NC
24660,37081,Guilford NC
24660,37151,Randolph NC
24660,37157,Rockingham NC
24780,37147,Pitt NC
25780,37181,Vance NC
25860,37003,Alexander NC
25860,37023,Burke NC
25860,37027,Caldwell NC
25860,37035,Catawba NC
27340,37133,Onslow NC
28620,37055,Dare NC
28820,37107,Lenoir NC
29900,37165,Scotland NC
31300,37155,Robeson NC
32000,37111,McDowell NC
33980,37031,Carteret NC
34340,37171,Surry NC
34820,37019,Brunswick NC
35100,37049,Craven NC
35100,37103,Jones NC
35100,37137,Pamlico NC
35900,37193,Wilkes NC
38240,37125,Moore NC
39580,37069,Franklin NC
39580,37101,Johnston NC
39580,37183,Wake NC
40260,37083,Halifax NC
40260,37131,Northampton NC
40460,37153,Richmond NC
40580,37065,Edgecombe NC
40580,37127,Nash NC
41820,37105,Lee NC
43140,37045,Cleveland NC
47260,37029,Camden NC
47260,37053,Currituck NC
47260,37073,Gates NC
47820,37013,Beaufort NC
48900,37129,New Hanover NC
48900,37141,Pender NC
48980,37195,Wilson NC
49180,37057,Davidson NC
49180,37059,Davie NC
49180,37067,Forsyth NC
49180,37169,Stokes NC
49180,37197,Yadkin NC
99999,37005,Alleghany NC
99999,37009,Ashe NC
99999,37011,Avery NC
99999,37015,Bertie NC
99999,37017,Bladen NC
99999,37033,Caswell NC
99999,37039,Cherokee NC
99999,37041,Chowan NC
99999,37043,Clay NC
99999,37047,Columbus NC
99999,37061,Duplin NC
99999,37075,Graham NC
99999,37079,Greene NC
99999,37091,Hertford NC
99999,37095,Hyde NC
99999,37113,Macon NC
99999,37117,Martin NC
99999,37121,Mitchell NC
99999,37123,Montgomery NC
99999,37149,Polk NC
99999,37163,Sampson NC
99999,37177,Tyrrell NC
99999,37185,Warren NC
99999,37187,Washington NC
99999,37199,Yancey NC